,dia,vah,vpoc,val,vol,range,vwap,open,high,low,close,vol_vah,vol_vpoc,vol_val,poc_naked,rango_area,delta,vix_close,dia_semanal,vix_0dte
125,06/13/2023,15102.75,15089.0,15033.0,614200,753,15061.16,14824.0,15151.25,14963.0,14914.25,4400,10200,4000,0,69.75,-50.0,14.61,Martes,17.26
126,06/14/2023,15185.75,15141.0,15090.0,664700,1070,15127.08,14925.0,15243.5,14976.0,15012.75,3300,7000,3800,0,95.75,3200.0,13.88,Miercoles,13.98
127,06/15/2023,15438.75,15410.0,15217.0,680700,1500,15268.4,15038.0,15441.0,15066.0,15188.0,377,4600,1900,0,221.75,11600.0,14.5,Jueves,15.0
128,06/16/2023,15410.25,15375.5,15330.5,612400,868,15365.57,15181.25,15475.5,15258.5,15316.5,2600,8400,2500,1,79.75,6100.0,13.54,Viernes,12.43
129,06/20/2023,15289.25,15241.5,15201.5,555600,737,15224.83,15303.25,15310.75,15126.5,15256.5,1100,8800,1900,0,87.75,-554.0,13.88,Martes,11.04
130,06/21/2023,15135.0,15064.25,15035.25,625000,1084,15109.46,15247.5,15273.25,15002.25,15044.0,1800,7700,1500,0,99.75,-35.0,13.2,Miercoles,10.93
131,06/22/2023,15210.75,15125.0,15056.0,602200,1096,15098.95,15038.75,15238.0,14964.0,15058.25,2200,6800,586,0,154.75,5600.0,12.91,Jueves,10.34
132,06/23/2023,15095.0,15059.25,14988.25,610900,1003,15075.54,15236.0,15236.0,14985.25,15058.25,1900,12400,503,0,106.75,-2200.0,13.44,Viernes,11.32
133,06/26/2023,15047.25,14914.5,14853.5,641700,1196,14994.72,15057.75,15152.5,14853.5,14856.5,2000,6300,666,0,193.75,-2300.0,14.25,Lunes,11.09
134,06/27/2023,15049.0,14927.25,14867.25,558200,1108,14993.46,14875.0,15139.25,14862.25,15111.5,1600,6100,296,1,181.75,2300.0,13.74,Martes,10.54
135,06/28/2023,15140.0,15123.25,15043.25,654800,791,15110.85,15088.25,15219.0,15021.25,15130.0,3600,6900,3000,0,96.75,-497.0,13.43,Miercoles,11.36
136,06/29/2023,15130.25,15113.5,15064.5,585900,697,15101.36,15161.0,15202.75,15028.5,15100.25,4400,9200,5400,0,65.75,544.0,13.54,Jueves,13.09
137,06/30/2023,15366.75,15350.0,15303.0,517100,1111,15301.73,15102.5,15376.75,15099.0,15316.25,1300,13400,1300,0,63.75,4500.0,13.59,Viernes,15.3
138,07/03/2023,15378.75,15355.0,15335.0,261100,336,15348.19,15330.75,15392.0,15308.0,15357.0,2200,5800,2500,0,43.75,2200.0,13.57,Lunes,9.89
139,07/05/2023,15394.0,15378.25,15334.25,471500,707,15359.37,15357.0,15432.0,15255.25,15360.75,2200,10400,2400,1,59.75,508.0,14.18,Miercoles,9.99
140,07/06/2023,15245.25,15234.5,15141.5,563300,1018,15203.99,15353.75,15366.0,15111.5,15238.0,2400,7000,3400,0,103.75,1800.0,15.44,Jueves,13.92
141,07/07/2023,15275.0,15226.25,15183.25,545700,750,15253.16,15211.75,15359.75,15172.25,15181.75,2200,6800,3000,0,91.75,3200.0,14.83,Viernes,11.25
142,07/10/2023,15188.0,15168.25,15126.25,596700,620,15150.64,15198.5,15218.25,15063.25,15187.0,3900,9800,4300,1,61.75,301.0,15.07,Lunes,10.48
